;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_RESET_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
ADC,0x8400,0x8700,1,17,1
ADD,0x8600,0x8700,1,17,1
ADDI,0xe7f8,0xe7ff,2,18,10
ADI,0x8008,0x87ff,1,2,5
ANC,0x8188,0x87ff,1,33,10
AND,0x8700,0x8700,1,17,1
ANDI,0xc7f8,0xe7ff,2,19,10
BAM,0x97c8,0xffff,1,29,1
BKPT,0xc789,0xffff,1,29,9
BLM,0xb7c8,0xffff,1,29,4
BTO,0x8408,0x87ff,1,33,5
BTZ,0x8448,0x87ff,1,33,5
CIO,0x85e9,0x87ff,1,33,8
CIOI,0x85f9,0x87ff,2,34,8
CLM,0x84f8,0x87ff,1,33,6
CMP,0xdfa8,0xffff,1,29,4
CMT,0xefa8,0xffff,1,29,1
CMV,0xd7a8,0xffff,1,29,1
COB,0x8588,0x87ff,1,33,1
COM,0x8000,0x8700,1,17,1
CRYTC,0xa7e9,0xffff,1,29,10
CRYTO,0xa7c9,0xffff,1,29,10
CRYTZ,0xa7d9,0xffff,1,29,10
CTR,0xe7a8,0xffff,1,29,1
CVWN,0xe669,0xe7ff,1,28,10
DAD,0x8088,0x87ff,1,33,1
DEQUE,0xe7c9,0xffff,1,29,10
DERR,0x8f09,0x8fcf,1,0,10
DHXL,0x8388,0x87ff,1,2,1
DHXR,0x83c8,0x87ff,1,2,1
DIA,0x6100,0xe700,1,14,2
DIB,0x6300,0xe700,1,14,2
DIC,0x6500,0xe700,1,14,2
DIV,0xd7c8,0xffff,1,29,5
DIVS,0xdfc8,0xffff,1,29,1
DIVX,0xbfc8,0xffff,1,29,1
DLSH,0x82c8,0x87ff,1,33,5
DOA,0x6200,0xe700,1,14,2
DOB,0x6400,0xe700,1,14,2
